PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
1/1/2014,56,49,41,45,40,36,83,69,55,30.22,30.17,30.13,10,9,7,9,1,10,0,3,,290<br />
1/2/2014,62,53,43,45,39,34,80,58,36,30.18,30.11,30.06,10,10,10,6,1,6,0,3,,146<br />
1/3/2014,64,54,44,46,41,34,80,59,37,30.08,30.02,29.96,10,10,9,14,4,16,0,3,,297<br />
1/4/2014,66,55,43,46,42,33,93,65,36,30.09,30.02,29.99,10,6,0,15,2,18,0,2,Fog,266<br />
1/5/2014,66,55,44,38,32,27,65,45,24,30.21,30.16,30.09,10,10,10,14,5,15,0,0,,125<br />
1/6/2014,60,52,44,45,40,32,71,61,51,30.28,30.21,30.17,10,10,7,9,2,10,0,5,,75<br />
1/7/2014,61,54,46,52,45,39,86,70,53,30.22,30.18,30.14,10,9,7,15,4,17,T,5,Rain,304<br />
1/8/2014,59,56,52,51,48,46,86,79,72,30.24,30.2,30.16,10,9,3,20,9,24,0.01,7,,281<br />
1/9/2014,60,56,52,50,47,43,89,73,57,30.27,30.23,30.2,10,10,5,25,12,31,T,5,,287<br />
1/10/2014,60,54,48,48,46,43,89,75,60,30.31,30.25,30.19,10,9,6,15,6,17,0,4,,310<br />
1/11/2014,58,52,46,51,46,42,93,83,72,30.3,30.23,30.16,10,10,6,18,6,22,T,4,,281<br />
1/12/2014,60,53,46,47,42,36,93,70,47,30.4,30.33,30.27,10,10,7,17,7,20,0,2,,313<br />
1/13/2014,67,55,42,44,37,32,71,50,28,30.47,30.4,30.35,10,10,10,18,3,22,0,1,,88<br />
1/14/2014,72,58,44,42,37,26,71,45,19,30.45,30.38,30.32,10,10,10,12,2,15,0,0,,134<br />
1/15/2014,73,61,48,40,34,25,71,44,17,30.35,30.27,30.2,10,10,10,10,3,13,0,0,,131<br />
1/16/2014,73,60,46,44,35,27,71,45,19,30.24,30.18,30.13,10,10,10,8,2,10,0,0,,125<br />
1/17/2014,67,56,45,45,39,35,71,53,34,30.2,30.15,30.11,10,9,5,5,1,7,0,0,,128<br />
1/18/2014,67,55,43,47,39,32,77,57,36,30.18,30.11,30.06,10,9,7,7,1,12,0,0,,128<br />
1/19/2014,67,55,43,44,38,34,76,54,32,30.14,30.1,30.06,10,10,8,7,2,7,0,1,,110<br />
1/20/2014,66,55,43,48,41,34,76,60,43,30.23,30.17,30.12,10,9,7,9,2,9,0,1,,354<br />
1/21/2014,68,56,43,44,37,25,76,48,20,30.27,30.21,30.16,10,10,10,12,2,13,0,3,,258<br />
1/22/2014,65,55,44,47,41,31,77,64,51,30.17,30.05,29.93,10,10,10,18,5,22,0,1,,304<br />
1/23/2014,69,57,44,47,38,27,80,51,21,30.02,29.93,29.88,10,9,7,17,5,21,0,0,,61<br />
1/24/2014,64,55,46,47,41,32,80,56,32,30.28,30.16,30.03,10,8,4,9,3,9,0,3,,5<br />
1/25/2014,65,57,48,48,43,34,83,60,37,30.27,30.19,30.13,10,9,7,12,2,13,0,2,,281<br />
1/26/2014,66,57,48,48,43,33,83,65,46,30.14,30.09,30.03,10,10,9,21,6,24,0,3,,317<br />
1/27/2014,59,54,48,48,46,43,83,73,62,30.21,30.15,30.08,10,10,7,18,6,20,0,6,,301<br />
1/28/2014,65,59,53,57,53,47,90,81,72,30.27,30.22,30.2,10,10,2,17,5,21,0,7,,290<br />
1/29/2014,63,59,54,57,54,50,93,89,84,30.2,30.11,30,10,10,7,20,8,22,T,8,Rain,282<br />
1/30/2014,58,55,52,51,48,46,93,80,67,29.98,29.91,29.88,10,10,9,30,14,38,T,6,Rain,267<br />
1/31/2014,60,54,47,46,42,36,86,63,39,30.09,30.04,29.92,10,10,9,32,12,38,0,1,,285<br />
2/1/2014,59,51,42,43,39,36,82,63,43,30.17,30.12,30.08,10,10,10,20,6,23,0,1,,270<br />
2/2/2014,58,53,47,44,42,36,86,74,61,30.04,29.92,29.85,10,8,4,29,12,33,0.85,7,Rain,111<br />
2/3/2014,56,51,46,43,41,39,82,69,55,30.09,30.04,29.99,10,10,10,25,11,32,0,3,,306<br />
2/4/2014,55,50,44,44,40,36,83,67,50,30.17,30.12,30.09,10,10,10,21,7,23,0,4,,288<br />
2/5/2014,55,49,43,46,42,38,86,73,59,30.21,30.15,30.06,10,10,10,17,7,24,0.09,6,Rain,255<br />
2/6/2014,52,50,48,52,48,42,100,90,80,30.05,29.96,29.91,10,8,2,20,7,23,0.64,8,Rain,100<br />
2/7/2014,56,54,51,54,51,49,100,92,83,30.08,30.04,30,10,9,3,31,11,40,0.23,8,Rain,152<br />
2/8/2014,59,56,53,58,55,49,100,92,83,30.15,30.1,30.06,10,5,2,28,13,37,0.42,8,Rain,164<br />
2/9/2014,59,57,55,58,56,52,100,92,83,30.16,30.12,30.06,10,6,2,21,9,26,0.35,8,Rain,174<br />
2/10/2014,57,54,51,54,52,50,100,93,86,30.29,30.23,30.14,10,9,2,17,10,20,T,7,Rain,274<br />
2/11/2014,56,53,49,51,49,48,100,92,83,30.26,30.22,30.18,10,10,7,22,9,26,0,6,,287<br />
2/12/2014,56,51,46,51,48,45,100,92,83,30.29,30.24,30.2,10,7,0,18,6,22,0,6,Fog,278<br />
2/13/2014,67,59,50,57,53,50,100,87,73,30.23,30.17,30.11,10,6,0,15,8,20,0,6,Fog,288<br />
2/14/2014,66,61,56,55,54,50,100,80,60,30.18,30.13,30.06,10,8,2,14,5,16,0,7,,293<br />
2/15/2014,62,57,52,55,52,49,93,83,72,30.05,30.02,30,10,10,7,17,5,21,T,7,Rain,174<br />
2/16/2014,63,57,50,54,47,40,93,68,43,30.21,30.14,30.06,10,10,6,20,8,23,0.01,3,,292<br />
2/17/2014,61,54,46,49,45,42,86,69,51,30.19,30.16,30.11,10,10,10,21,10,25,0,3,,280<br />
2/18/2014,62,55,48,53,49,45,93,80,67,30.2,30.15,30.12,10,10,5,22,8,25,0,5,,272<br />
2/19/2014,62,57,51,54,48,43,93,72,51,30.22,30.16,30.12,10,10,10,23,14,26,0.01,4,,276<br />
2/20/2014,67,56,45,47,44,41,86,65,43,30.22,30.17,30.12,10,10,9,18,6,22,0,4,,277<br />
2/21/2014,69,58,47,51,46,40,86,61,35,30.12,30.06,30,10,10,10,22,7,26,0,1,,282<br />
2/22/2014,66,56,46,52,48,43,93,78,63,30.03,29.99,29.94,10,10,10,23,9,28,0,2,,286<br />
2/23/2014,63,55,46,52,47,44,93,81,69,30.04,30,29.96,10,9,6,23,8,26,0,3,,268<br />
2/24/2014,71,58,45,53,47,41,89,65,40,30.01,29.96,29.91,10,10,10,17,6,21,0,1,,302<br />
2/25/2014,62,55,48,53,48,45,89,78,67,29.99,29.95,29.92,10,9,7,20,6,23,0,6,,215<br />
2/26/2014,60,57,54,56,52,47,93,80,67,29.96,29.84,29.69,10,9,4,31,15,39,0.43,8,Rain,147<br />
2/27/2014,65,60,55,54,52,50,86,76,65,29.91,29.78,29.5,10,10,8,21,10,31,0.05,7,Rain,163<br />
2/28/2014,61,58,54,56,51,45,93,79,64,29.49,29.42,29.38,10,9,3,25,15,31,0.68,7,Rain,131<br />
3/1/2014,63,58,53,55,53,50,100,89,78,29.81,29.63,29.47,10,10,7,22,9,29,0.14,6,Rain,125<br />
3/2/2014,60,56,52,56,52,49,100,85,69,30.17,30.01,29.82,10,8,3,17,6,22,0.03,6,Rain,192<br />
3/3/2014,60,55,50,54,51,48,100,82,64,30.16,30.11,30.02,10,10,10,21,7,24,0.08,7,Rain,136<br />
3/4/2014,62,58,53,56,55,52,100,92,84,30.12,30.08,30.05,10,10,10,14,4,17,T,7,,339<br />
3/5/2014,68,62,55,59,56,47,100,73,45,30.11,30.06,30,10,9,6,17,6,23,0.16,8,Rain,163<br />
3/6/2014,63,59,54,57,54,52,100,84,67,30.21,30.15,30.05,10,9,7,14,8,16,T,5,Rain,277<br />
3/7/2014,64,57,49,52,50,45,100,76,52,30.19,30.15,30.11,10,10,7,22,11,25,0,3,,291<br />
3/8/2014,67,58,48,56,50,46,100,78,56,30.21,30.16,30.12,10,10,9,16,6,18,T,5,Rain,306<br />
3/9/2014,71,65,58,58,52,45,86,62,38,30.18,30.13,30.07,10,10,10,17,5,21,T,6,Rain,295<br />
3/10/2014,66,61,55,56,51,46,93,75,56,30.25,30.17,30.11,10,10,4,22,11,25,T,5,Rain,289<br />
3/11/2014,69,63,56,47,38,32,62,45,27,30.2,30.1,30.02,10,10,10,28,9,31,0,1,,13<br />
3/12/2014,72,65,58,49,41,35,51,42,32,30.1,30.04,30,10,10,10,36,18,43,0,1,,7<br />
3/13/2014,75,64,53,52,45,35,83,57,31,30.08,30.03,30,10,10,10,23,7,,0,1,,288<br />
3/14/2014,69,61,53,52,50,48,86,72,58,30.23,30.16,30.09,10,10,9,23,10,25,0,3,,267<br />
3/15/2014,76,64,51,58,51,46,86,65,43,30.31,30.27,30.23,10,10,10,22,8,26,0,1,,306<br />
3/16/2014,68,60,51,56,50,47,89,73,56,30.32,30.27,30.21,10,10,10,35,12,43,0,3,,291<br />
3/17/2014,66,59,52,52,47,45,83,68,52,30.25,30.11,30,10,10,10,28,14,31,T,3,,282<br />
3/18/2014,71,60,48,47,38,29,83,53,22,29.99,29.95,29.91,10,10,8,21,5,24,0,1,,273<br />
3/19/2014,73,61,49,50,41,34,83,53,23,30.09,30.04,29.98,10,10,10,20,6,22,0,3,,289<br />
3/20/2014,69,60,51,54,48,44,83,70,56,30.06,30.02,29.96,10,10,9,26,11,31,0,4,,285<br />
3/21/2014,65,57,49,49,46,44,86,71,56,30.01,29.98,29.95,10,10,8,22,7,25,0,2,,286<br />
3/22/2014,65,56,47,51,46,43,83,70,56,30.13,30.07,30,10,10,10,18,8,22,0,1,,299<br />
3/23/2014,64,57,49,51,47,44,89,73,56,30.19,30.14,30.1,10,10,10,21,8,24,0,2,,290<br />
3/24/2014,71,60,48,52,47,39,100,72,44,30.16,30.1,30.02,10,8,0,23,10,26,0,2,Fog,288<br />
3/25/2014,62,55,48,55,50,41,86,75,64,30.06,29.96,29.87,10,10,5,18,8,21,0.09,5,Rain,232<br />
3/26/2014,62,58,53,54,50,48,86,75,64,29.99,29.88,29.81,10,9,4,25,11,29,0.36,6,Rain,235<br />
3/27/2014,65,60,54,50,48,45,83,66,48,30.14,30.07,29.99,10,10,9,15,8,21,T,7,Rain,220<br />
3/28/2014,71,63,55,54,51,48,86,67,47,30.19,30.15,30.11,10,10,10,24,9,29,T,6,Rain,176<br />
3/29/2014,60,57,53,57,53,47,93,83,72,30.14,30.06,30.02,10,8,2,24,11,28,0.57,7,Rain,224<br />
3/30/2014,61,56,50,49,46,42,89,70,51,30.15,30.1,30.06,10,10,10,16,9,28,0.01,3,,264<br />
3/31/2014,57,53,49,48,45,42,86,74,62,30.08,29.93,29.85,10,9,3,23,9,32,0.49,5,Rain,170<br />
4/1/2014,59,54,48,47,45,43,93,78,62,29.95,29.89,29.84,10,9,6,24,9,36,0.62,7,Rain,163<br />
4/2/2014,61,54,47,47,45,42,86,71,55,30.11,30.03,29.88,10,10,10,22,9,25,0.36,4,Rain,66<br />
4/3/2014,64,57,49,51,46,42,86,67,48,30.13,30.09,30.05,10,10,10,16,6,24,0,6,,189<br />
4/4/2014,60,56,51,50,48,44,89,73,57,30.06,30.03,29.99,10,10,7,22,11,28,0.22,6,Rain,271<br />
4/5/2014,63,57,50,50,48,46,89,75,60,30.2,30.14,30.06,10,10,9,28,13,33,0,1,,276<br />
4/6/2014,74,62,50,55,51,47,89,67,44,30.24,30.18,30.11,10,10,9,23,7,26,0,2,,285<br />
4/7/2014,82,69,55,57,52,49,86,63,39,30.16,30.11,30.06,10,10,10,22,6,24,0,0,,310<br />
4/8/2014,78,67,55,60,54,50,86,68,49,30.11,30.07,30.03,10,10,10,22,9,25,0,4,,303<br />
4/9/2014,64,58,51,53,51,49,96,82,67,30.1,30.05,29.99,10,10,10,25,14,29,0,4,,299<br />
4/10/2014,72,60,48,54,50,46,93,71,49,30.04,29.98,29.9,10,9,2,25,8,29,0,5,,305<br />
4/11/2014,64,59,53,53,51,48,93,80,67,29.95,29.91,29.86,10,10,10,20,10,23,0,6,,290<br />
4/12/2014,67,59,51,52,49,45,83,68,52,29.96,29.91,29.88,10,10,10,22,8,28,0,2,,254<br />
4/13/2014,71,63,54,53,50,47,93,75,57,30.06,30.01,29.97,10,10,9,25,10,30,0,4,,270<br />
4/14/2014,68,60,52,54,51,50,96,80,63,30.13,30.08,30.03,10,10,8,28,12,31,0,4,,295<br />
4/15/2014,65,59,52,51,49,46,89,75,60,30.08,30,29.92,10,10,9,24,10,29,0,3,,273<br />
4/16/2014,73,63,52,52,49,47,83,65,47,29.93,29.89,29.84,10,10,8,28,12,32,0,2,,292<br />
4/17/2014,64,59,53,51,49,46,89,73,56,29.89,29.86,29.81,10,10,8,29,17,36,0,3,,277<br />
4/18/2014,63,58,52,50,48,45,83,72,60,29.96,29.92,29.88,10,10,9,25,14,30,0,3,,276<br />
4/19/2014,63,57,51,54,49,45,89,73,56,30.13,30.08,29.96,10,10,8,24,13,29,T,4,,267<br />
4/20/2014,79,65,51,60,48,43,89,60,30,30.14,30.11,30.07,10,10,10,28,10,31,0,1,,304<br />
4/21/2014,69,61,52,50,48,44,77,63,48,30.09,30.04,29.98,10,10,9,25,13,29,0,5,,283<br />
4/22/2014,63,58,52,51,44,38,89,64,39,30.14,30.09,29.98,10,10,3,36,23,41,0.04,4,Rain,276<br />
4/23/2014,66,59,52,51,45,41,86,66,46,30.16,30.13,30.1,10,10,10,32,15,38,0,3,,282<br />
4/24/2014,67,61,55,55,53,50,93,76,58,30.13,30.06,29.99,10,10,10,24,11,29,T,6,Rain,265<br />
4/25/2014,73,63,52,55,50,46,100,89,77,29.98,29.88,29.82,10,9,3,29,13,36,0.37,7,Rain,252<br />
4/26/2014,62,55,48,47,43,40,83,62,39,30.1,29.99,29.87,10,10,10,26,15,33,0,4,,267<br />
4/27/2014,64,59,53,51,49,46,86,73,60,30.14,30.09,30.04,10,10,10,22,11,26,0,6,,229<br />
4/28/2014,69,61,52,51,47,39,89,63,37,30.23,30.19,30.15,10,10,9,26,12,33,0,1,,285<br />
4/29/2014,86,70,54,53,46,41,72,47,21,30.21,30.14,30.05,10,10,10,18,6,21,0,2,,276<br />
4/30/2014,90,75,60,58,49,33,72,46,19,30.08,30.05,29.99,10,10,10,13,4,15,0,2,,297<br />
5/1/2014,86,74,62,59,47,33,66,41,16,30.09,30.07,30.03,10,10,10,28,8,33,0,3,,312<br />
5/2/2014,73,64,54,54,51,47,93,69,44,30.09,30.07,30.03,10,10,10,25,14,31,0,5,,290<br />
5/3/2014,67,61,55,54,51,48,86,69,52,30.07,30.05,30.02,10,10,10,28,18,35,0,6,,267<br />
5/4/2014,68,63,57,54,53,51,86,72,58,30.08,30.05,30.03,10,10,10,21,12,24,0,6,,278<br />
5/5/2014,66,61,55,53,50,46,86,69,52,30.06,30.02,29.97,10,10,10,35,20,47,0,4,,270<br />
5/6/2014,67,60,52,49,47,44,83,64,45,29.95,29.92,29.89,10,10,10,39,19,45,0,1,,278<br />
5/7/2014,64,58,51,48,47,45,83,68,52,30.01,29.97,29.9,10,10,10,30,17,37,0,3,,262<br />
5/8/2014,65,60,54,58,53,48,84,76,67,30.1,30.06,30.01,10,9,3,23,11,29,T,7,Rain,227<br />
5/9/2014,66,60,54,57,51,48,93,73,52,30.18,30.14,30.1,10,10,10,33,17,41,0,4,,276<br />
5/10/2014,67,60,52,48,46,43,83,64,44,30.14,30.1,30.04,10,10,10,39,21,47,0,1,,277<br />
5/11/2014,75,63,51,48,43,35,77,51,25,30.11,30.07,30.02,10,10,10,35,16,40,0,1,,301<br />
5/12/2014,84,68,52,56,46,39,77,51,25,30.12,30.08,30.04,10,10,10,25,8,30,0,2,,288<br />
5/13/2014,92,76,59,59,46,38,68,42,15,30.13,30.1,30.07,10,10,9,20,6,22,0,1,,306<br />
5/14/2014,91,77,63,59,46,34,73,44,15,30.13,30.09,30.04,10,10,10,22,8,25,0,1,,310<br />
5/15/2014,84,71,58,57,45,38,67,47,27,30.1,30.08,30.06,10,10,10,29,11,33,0,4,,294<br />
5/16/2014,72,64,55,54,51,49,86,65,44,30.1,30.06,30.02,10,10,10,30,17,37,0,5,,280<br />
5/17/2014,67,62,57,54,51,49,86,72,58,30.03,30,29.97,10,10,10,30,16,38,0,6,,265<br />
5/18/2014,68,63,57,54,52,48,86,72,58,30.01,29.99,29.95,10,10,10,39,21,46,0,3,,272<br />
5/19/2014,68,62,56,54,51,49,80,66,52,29.99,29.97,29.94,10,10,10,29,19,33,T,6,,268<br />
5/20/2014,71,64,56,54,51,48,83,65,47,30.01,29.99,29.94,10,10,10,23,14,28,0,5,,267<br />
5/21/2014,71,64,56,54,52,51,86,70,53,29.99,29.96,29.94,10,10,10,25,12,29,0,5,,271<br />
5/22/2014,70,62,54,54,52,51,86,72,57,30.04,29.97,29.94,10,10,9,22,12,26,0,5,,278<br />
5/23/2014,69,62,54,54,52,50,93,76,59,30.04,30,29.95,10,10,10,28,12,33,0,5,,281<br />
5/24/2014,67,61,55,53,51,49,86,71,56,30.02,29.98,29.95,10,10,10,25,16,32,0,3,,279<br />
5/25/2014,72,63,54,52,48,46,83,62,41,29.98,29.96,29.93,10,10,10,37,16,41,0,1,,288<br />
5/26/2014,72,64,56,54,50,47,83,68,53,30.04,30,29.96,10,10,10,37,22,44,0,1,,280<br />
5/27/2014,68,61,54,49,47,45,77,63,48,30.06,30.03,29.99,10,10,10,37,18,43,0,1,,271<br />
5/28/2014,72,63,53,47,45,41,77,57,37,30.08,30.03,29.96,10,10,10,28,17,33,0,0,,274<br />
5/29/2014,78,66,53,56,48,45,77,55,33,29.96,29.94,29.91,10,10,10,24,10,28,0,1,,288<br />
5/30/2014,65,59,52,50,49,47,83,72,60,29.99,29.96,29.92,10,10,9,26,14,35,0,5,,264<br />
5/31/2014,68,60,52,54,51,48,89,74,58,29.98,29.95,29.91,10,10,10,25,11,29,0,4,,289<br />
6/1/2014,72,62,52,55,51,48,96,75,53,29.94,29.88,29.8,10,10,10,23,11,26,0,2,,306<br />
6/2/2014,67,60,52,52,50,47,89,74,58,29.92,29.89,29.84,10,10,10,24,10,29,0,4,,227<br />
6/3/2014,67,60,53,52,50,48,89,74,58,29.95,29.91,29.88,10,10,10,23,11,28,0,2,,267<br />
6/4/2014,68,61,53,54,51,48,89,72,55,29.91,29.87,29.83,10,10,9,24,11,29,0,3,,304<br />
6/5/2014,71,62,53,56,53,50,93,75,57,29.87,29.84,29.8,10,10,10,23,10,29,0,1,,311<br />
6/6/2014,71,63,54,56,53,50,93,75,57,29.85,29.82,29.8,10,10,10,24,11,29,0,1,,303<br />
6/7/2014,70,62,53,55,52,50,93,74,55,29.86,29.82,29.78,10,10,9,24,10,29,0,2,,303<br />
6/8/2014,87,71,55,59,53,51,86,58,29,29.83,29.78,29.71,10,10,9,23,11,28,0,0,,291<br />
6/9/2014,77,68,58,60,55,53,84,67,50,29.76,29.73,29.68,10,10,10,26,12,31,0,1,,297<br />
6/10/2014,73,66,58,58,55,54,87,72,57,29.83,29.77,29.73,10,10,10,22,9,26,0,2,,291<br />
6/11/2014,73,65,57,55,53,52,80,65,49,29.92,29.86,29.82,10,10,10,20,11,25,0,1,,203<br />
6/12/2014,67,62,56,52,51,50,86,71,56,30.01,29.96,29.92,10,10,10,36,17,66,0,4,,258<br />
6/13/2014,73,64,54,55,51,50,93,70,46,29.99,29.96,29.93,10,10,10,30,15,35,0,2,,280<br />
6/14/2014,84,70,56,56,51,48,83,58,33,29.95,29.9,29.84,10,10,10,26,11,30,0,2,,290<br />
6/15/2014,70,63,56,52,51,49,83,69,55,29.87,29.84,29.81,10,10,10,38,17,46,0,5,,252<br />
6/16/2014,65,60,55,52,49,47,86,71,56,29.94,29.9,29.86,10,10,10,32,16,41,0,4,,250<br />
6/17/2014,75,64,53,48,46,43,77,56,35,29.96,29.93,29.9,10,10,10,25,10,30,0,1,,281<br />
6/18/2014,86,71,55,59,50,43,77,49,21,29.96,29.94,29.91,10,10,10,25,11,31,0,0,,299<br />
6/19/2014,72,64,55,52,51,50,86,69,51,30,29.98,29.95,10,10,10,24,14,29,0,2,,293<br />
6/20/2014,75,66,56,54,51,49,80,63,46,29.99,29.97,29.94,10,10,10,29,14,36,0,4,,287<br />
6/21/2014,66,61,56,51,50,49,83,72,60,29.95,29.92,29.89,10,10,10,29,12,35,0,4,,280<br />
6/22/2014,68,62,55,52,51,48,80,69,58,29.97,29.94,29.91,10,10,10,31,13,38,0,3,,267<br />
6/23/2014,71,64,56,52,51,47,86,67,48,29.97,29.95,29.93,10,10,9,29,15,35,0,4,,279<br />
6/24/2014,69,63,57,56,53,50,87,72,57,30.03,29.99,29.96,10,10,10,36,17,41,0.01,3,,278<br />
6/25/2014,69,64,58,59,57,55,93,81,68,30.02,29.99,29.97,10,10,10,23,13,30,T,7,,260<br />
6/26/2014,73,65,57,58,56,53,100,77,53,30.01,29.99,29.97,10,10,5,25,12,29,T,5,Rain,275<br />
6/27/2014,75,67,59,61,57,55,90,74,57,30,29.98,29.94,10,10,10,25,13,31,0,4,,272<br />
6/28/2014,73,66,58,56,54,52,93,71,49,29.98,29.95,29.91,10,10,10,32,18,38,0,4,,276<br />
6/29/2014,80,69,57,60,53,51,86,63,39,29.94,29.9,29.83,10,10,10,30,13,33,0,0,,298<br />
6/30/2014,82,71,59,61,55,51,84,63,42,29.84,29.81,29.78,10,10,9,21,10,24,0,4,,302<br />
